;Identifiant;ft_2_categ;EXPO;ft_4_categ;ft_5_categ;ft_6_categ;ft_7_categ;ft_8_categ;ft_9_categ;ft_10_categ;ft_11_categ;ft_12_categ;ft_13_categ;ft_14_categ;ft_15_categ;ft_16_categ;ft_17_categ;ft_18_categ;ft_19_categ;superficief;ft_21_categ;ft_23_categ;ft_24_categ;Insee;ft_22_categ_c;target
2913;9709;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1700.0;2;0.0;0;63113;1980.0;0
2914;18312;2012;0.836065574;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;effpi;2;2300.0;4;0.0;5;75119;1954.0;0
2915;6349;2013;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1752.0;3;0.0;0;92004;1960.0;0
2916;1855;2016;0.99726776;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1677.0;2;0.3;3;62201;1970.0;0
2917;10891;2013;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;900.0;2;0.0;0;13201;1960.0;0
2918;10174;2016;0.99726776;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;477.0;1;0.0;5;54482;1960.0;0
2919;8860;2013;1.0;0;V;N;1;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;pi;2;11200.0;4;0.0;7;06104;1995.0;1
2920;5419;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2700.0;3;0.0;0;64483;1965.1201847262896;0
2921;8128;2016;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;1;728.0;2;0.0;3;31299;1900.0;0
2922;19085;2015;0.997260274;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;1050.0;1;0.3;3;13066;1800.0;0
2923;16448;2013;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;350.0;2;0.0;3;66136;1955.0;0
2924;5131;2013;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;900.0;1;0.0;0;22054;1988.0;1
2925;15727;2014;0.901369863;1;V;N;2;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;effpi;2;4709.0;3;0.0;5;93078;1950.0;0
2926;13685;2014;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1898.0;3;0.3;3;33063;1850.0;0
2927;11747;2012;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;715.0;2;0.0;0;78517;1960.0;0
2928;11772;2016;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;400.0;2;0.0;0;13201;1960.0;0
2929;15208;2012;1.0;0;V;N;1;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;pi;1;700.0;3;0.3;4;33063;1850.0;1
2930;7052;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;900.0;2;0.0;0;83050;1960.0;0
2931;3006;2015;1.0;1;V;N;2;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;effpi;2;3732.0;4;0.0;8;06088;1930.0;1
2932;12506;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2750.0;3;0.0;0;59512;1980.0;0
2933;242;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1726.0;2;0.0;0;14118;1980.0;1
2934;3092;2012;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;124.0;2;0.6;4;13001;1850.0;0
2935;435;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;630.0;2;0.0;0;34032;1960.0;0
2936;3114;2014;1.0;0;V;N;2;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;2250.0;2;0.0;8;13201;1950.0;1
2937;18805;2012;0.333333333;0;V;N;1;O;1;O;N;N;N;O;AUTRE;IDENTIQUE;V;base;1;536.0;1;0.6;4;74243;1949.0;0
2938;7865;2013;0.610958904;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;480.0;2;0.0;0;13201;1960.0;0
2939;10982;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;240.0;4;0.0;0;06159;1960.0;0
2940;8017;2016;0.99726776;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1420.0;1;0.0;0;35288;1965.1201847262896;0
2941;754;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1678.0;1;0.0;0;74011;1980.0;1
2942;3634;2016;1.0;1;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;735.0;3;0.0;0;94080;1965.1201847262896;1
2943;9142;2014;1.0;1;O;V;V;V;V;V;V;V;V;V;V;V;N;base;2;432.0;4;0.0;0;06088;1965.1201847262896;1
2944;16247;2013;1.0;1;V;N;3;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;effpi;2;480.0;3;0.0;4;93029;1970.0;0
2945;6967;2013;0.328767123;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2000.0;2;0.0;0;13207;1980.0;0
2946;16701;2012;1.0;0;V;N;1;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;base;2;250.0;2;0.0;3;78358;1930.0;0
2947;5632;2012;0.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;600.0;1;0.0;0;91223;1965.1201847262896;0
2948;12430;2016;1.0;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;700.0;2;0.0;3;83137;1900.0;0
2949;7641;2013;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;250.0;2;0.0;0;13210;1960.0;0
2950;19951;2016;0.25136612;0;V;N;3;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;980.0;1;0.0;4;17299;1860.0;0
2951;6997;2014;0.580821918;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;400.0;3;0.0;0;93051;1980.0;0
2952;10753;2016;0.99726776;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1270.0;1;0.0;0;74262;1988.0;0
2953;3502;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;891.0;2;0.0;0;83118;1965.1201847262896;0
2954;16858;2012;1.0;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;290.0;2;0.0;2;78490;1960.0;0
2955;16392;2013;1.0;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;1;630.0;2;0.0;4;66147;2010.0;1
2956;5438;2014;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;3500.0;4;0.0;4;06104;1988.0;0
2957;19213;2014;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;328.0;4;0.6;4;75101;1900.0;0
2958;12931;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;954.0;1;0.0;0;74043;1988.0;0
2959;16366;2012;0.49726776;0;V;N;1;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;base;1;620.0;2;0.3;3;68161;1954.0;0
2960;17634;2016;0.99726776;1;V;N;1;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;base;1;490.0;4;0.3;4;06088;1900.0;1
2961;16237;2015;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;3120.0;4;0.0;4;06083;2000.0;0
2962;3787;2015;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1300.0;2;0.0;0;21231;1965.1201847262896;0
2963;6452;2016;0.99726776;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;4200.0;1;0.0;0;63075;1980.0;1
2964;4429;2013;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;4176.0;4;0.0;0;06083;1988.0;0
2965;13948;2014;1.0;1;V;N;2;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;731.0;2;0.3;3;83036;1970.0;0
2966;7456;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1440.0;1;0.0;0;13004;1980.0;0
2967;5305;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2100.0;2;0.0;0;69382;1965.1201847262896;1
2968;15491;2014;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;910.0;1;0.0;4;86194;2009.0;0
2969;6799;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;14950.0;2;0.0;0;13201;1960.0;1
2970;5121;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2081.0;3;0.0;0;54395;1960.0;1
2971;204;2015;1.0;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;1;900.0;4;0.3;7;75105;1920.0;0
2972;483;2013;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;438.0;2;0.0;0;40046;1965.1201847262896;0
2973;15599;2014;1.0;0;V;N;3;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;300.0;3;0.3;3;67482;1970.0;0
2974;1571;2013;1.0;0;V;N;1;N;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;V;2;6203.0;1;0.0;5;74173;1990.0;0
2975;17319;2012;1.0;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;1;480.0;2;0.3;3;69266;1969.0;0
2976;10447;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;610.0;2;0.0;0;13204;1960.0;0
2977;3571;2013;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;effpi;2;3550.0;2;0.0;6;29232;1970.0;0
2978;15635;2012;1.0;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;effpi;2;2816.0;4;0.0;2;75114;1980.0;0
2979;10827;2013;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;175.0;2;0.0;0;83091;1960.0;0
2980;1281;2016;0.967213115;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;530.0;1;0.0;0;88383;1980.0;0
2981;8429;2016;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;300.0;1;0.0;0;35093;1965.1201847262896;0
2982;9170;2016;0.994535519;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;effpi;2;1350.0;2;0.0;4;13201;1940.0;0
2983;7590;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;809.0;2;0.0;0;83123;1980.0;0
2984;9878;2013;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;effpi;2;1300.0;2;0.0;5;63113;1955.0;1
2985;13306;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;130.0;4;0.0;0;06083;1960.0;0
2986;4781;2016;0.99726776;1;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1250.0;2;0.0;0;57606;1988.0;0
2987;2612;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;150.0;2;0.0;0;76217;1960.0;1
2988;13410;2013;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1300.0;1;0.0;0;73304;1988.0;0
2989;6896;2013;1.0;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;1;950.0;4;0.0;4;75117;1950.0;0
2990;17175;2014;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1650.0;1;0.0;4;35288;2007.0;1
2991;12937;2014;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1160.0;4;0.0;0;75108;1960.0;1
2992;16691;2013;1.0;0;V;N;2;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;1;535.0;3;0.3;4;92002;1970.0;1
2993;14266;2015;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2986.0;2;0.0;0;83107;1988.0;0
2994;2151;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1600.0;2;0.0;0;14327;1980.0;0
2995;8807;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;400.0;2;0.0;0;69204;1965.1201847262896;0
2996;15793;2013;1.0;0;V;N;2;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;pi;2;5716.0;1;0.3;6;13005;1970.0;0
2997;13104;2016;0.99726776;0;V;N;1;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;base;2;2850.0;1;0.0;10;73065;1960.0;0
2998;12282;2015;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;870.0;2;0.0;0;13001;1960.0;0
2999;8039;2015;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;700.0;3;0.0;4;59350;1950.0;0
3000;14380;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1400.0;2;0.0;0;34172;1960.0;0
3001;2721;2016;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1860.0;2;0.0;0;59043;1980.0;0
3002;2272;2014;0.221917808;1;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;459.0;2;0.0;0;51454;1960.0;0
3003;18722;2013;1.0;0;V;N;2;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;2620.0;2;0.0;6;63113;2012.0;1
3004;15320;2016;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;1210.0;1;0.6;3;35288;2002.0;1
3005;14238;2013;1.0;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;effpi;2;4240.0;2;0.0;6;95052;2006.0;1
3006;8390;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;570.0;1;0.0;0;33063;1960.0;0
3007;11136;2013;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1650.0;2;0.0;0;62160;1980.0;0
3008;8913;2015;0.534246575;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1620.0;4;0.0;0;06083;1965.1201847262896;0
3009;17710;2014;1.0;1;V;N;1;O;1;O;N;O;O;O;AUTRE;IDENTIQUE;V;base;2;1460.0;3;0.0;7;92012;1920.0;0
3010;12527;2015;1.0;0;V;N;3;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;1350.0;2;0.0;4;64526;1950.0;0
3011;18211;2012;0.915300546;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;400.0;2;0.3;3;21231;1900.0;0
3012;7343;2012;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;150.0;2;0.0;0;78586;1965.1201847262896;0
3013;10931;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;350.0;2;0.0;0;57306;1960.0;0
3014;4688;2013;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;400.0;2;0.0;0;13204;1965.1201847262896;0
3015;7359;2015;1.0;1;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1430.0;2;0.0;0;83137;1980.0;0
3016;11007;2014;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;540.0;3;0.0;0;92051;1980.0;0
3017;11110;2016;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;230.0;2;0.0;0;83144;1960.0;1
3018;14742;2016;0.99726776;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;200.0;2;0.0;0;80688;1960.0;0
3019;19208;2015;0.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;500.0;3;0.0;3;2B033;1930.0;0
3020;6783;2012;1.0;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;364.0;2;0.0;4;51454;1935.0;0
3021;16036;2012;1.0;1;V;N;1;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;pi;2;750.0;4;0.0;5;75115;1960.0;1
3022;15777;2013;1.0;0;V;N;1;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;base;2;620.0;1;0.0;4;86194;1920.0;1
3023;8567;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1400.0;4;0.0;0;06004;1965.1201847262896;1
3024;6606;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1215.0;2;0.0;0;13001;1980.0;0
3025;4157;2016;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;800.0;1;0.0;0;91174;1960.0;0
3026;7250;2015;1.0;0;V;N;2;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;2100.0;2;0.0;4;38421;1989.0;0
3027;9366;2015;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;350.0;3;0.0;0;93049;1965.1201847262896;0
3028;5888;2016;0.99726776;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2028.0;1;0.0;0;13119;1980.0;0
3029;9520;2013;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;400.0;1;0.0;0;74056;1965.1201847262896;1
3030;1530;2013;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;3147.0;2;0.3;5;62201;1960.0;0
3031;6581;2012;1.0;0;V;N;1;N;1;O;N;O;N;N;AUTRE;IDENTIQUE;V;base;2;3900.0;1;0.0;5;61483;1976.0;0
3032;19558;2016;0.99726776;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;V;2;2206.0;1;0.0;3;44204;2013.0;0
3033;1052;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;125.0;2;0.0;0;62108;1960.0;0
3034;4949;2015;0.290410959;1;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2651.0;4;0.0;0;75117;1965.1201847262896;1
3035;9592;2014;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;870.0;2;0.6;4;34003;1989.0;0
3036;12118;2013;0.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1230.0;3;0.0;0;93066;1960.0;0
3037;4028;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;750.0;2;0.0;0;34032;1980.0;1
3038;2415;2012;1.0;0;V;N;1;O;1;O;N;N;N;O;AUTRE;IDENTIQUE;V;base;1;3900.0;2;0.0;3;38547;1945.0;0
3039;8557;2015;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2530.0;4;0.0;0;06004;1965.1201847262896;1
3040;4572;2015;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;600.0;2;0.0;0;21231;1960.0;0
3041;10946;2015;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;300.0;3;0.0;0;94078;1960.0;0
3042;2128;2016;0.99726776;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1000.0;1;0.0;0;07281;1960.0;0
3043;5278;2013;0.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;150.0;2;0.0;0;13206;1960.0;0
3044;6382;2015;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;284.0;2;0.0;0;69149;1960.0;1
3045;17928;2013;1.0;1;V;N;2;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;4863.0;3;0.0;5;33063;2011.0;0
3046;9948;2013;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;eff;1;320.0;4;0.0;3;06088;1950.0;0
3047;2390;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;437.0;2;0.0;0;25388;1960.0;0
3048;2123;2013;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;500.0;1;0.0;0;13021;1980.0;0
3049;6067;2014;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1400.0;3;0.0;0;92004;1960.0;0
3050;14660;2016;0.99726776;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;4850.0;2;0.0;0;38138;1960.0;1
3051;6698;2016;0.99726776;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2120.0;1;0.0;0;73003;1980.0;0
3052;11869;2013;0.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1268.0;4;0.0;0;75114;1980.0;0
3053;15667;2012;1.0;1;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;1388.0;2;0.3;5;13206;1945.0;0
3054;18076;2016;0.99726776;0;V;N;1;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;effpi;2;870.0;4;0.0;6;75112;1930.0;0
3055;10615;2016;0.99726776;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;9500.0;2;0.0;0;13209;1960.0;1
3056;15212;2013;1.0;0;V;N;3;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;effpi;2;11760.0;3;0.3;3;92063;1987.0;1
3057;9049;2015;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;40.0;2;0.0;0;83923;1965.1201847262896;0
3058;4236;2016;0.99726776;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;350.0;1;0.0;0;13096;1988.0;0
3059;5781;2014;1.0;1;V;N;3;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;800.0;4;0.0;3;75120;2011.0;1
3060;8862;2016;0.99726776;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;pi;2;677.0;4;0.0;6;06083;1910.0;0
3061;17920;2013;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;2;1944.0;2;0.0;4;77373;2002.0;0
3062;18318;2014;1.0;1;V;N;1;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;base;2;1700.0;4;0.0;5;75115;1896.0;1
3063;9647;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;450.0;2;0.0;0;30189;1960.0;0
3064;14558;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;250.0;2;0.0;0;64122;1980.0;0
3065;11158;2016;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;878.0;2;0.0;0;13202;1960.0;0
3066;1912;2015;0.449315068;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;pi;1;200.0;2;0.0;2;83009;1988.0;0
3067;13969;2014;0.495890411;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1350.0;3;0.0;0;92044;1960.0;1
3068;3294;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;6410.0;4;0.0;0;06123;1960.0;1
3069;11776;2013;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;effpi;2;860.0;2;0.0;3;83123;1970.0;0
3070;18394;2015;1.0;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;effpi;2;4256.0;3;0.0;8;93064;2005.0;0
3071;5486;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;850.0;1;0.0;0;05110;1980.0;0
3072;14131;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;960.0;2;0.0;0;42218;1980.0;0
3073;19804;2015;0.084931507;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;934.0;2;0.0;4;31555;1992.0;0
3074;6116;2016;0.99726776;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;pi;2;490.0;2;0.0;4;42218;1940.0;0
3075;1528;2014;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1450.0;2;0.0;0;83126;1960.0;1
3076;11742;2012;0.833333333;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;300.0;1;0.0;0;33063;1960.0;0
3077;16136;2013;1.0;1;V;N;2;O;1;O;N;O;O;N;AUTRE;IDENTIQUE;V;pi;2;1650.0;3;0.0;4;94068;1965.0;0
3078;4106;2016;0.99726776;1;V;N;1;O;1;O;N;N;O;O;AUTRE;IDENTIQUE;V;pi;2;800.0;4;0.0;6;75119;1920.0;1
3079;6276;2013;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1520.0;1;0.0;0;54043;1980.0;0
3080;10029;2016;0.99726776;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1450.0;2;0.0;0;13001;1960.0;0
3081;17563;2014;1.0;0;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;600.0;2;0.3;5;13206;1900.0;0
3082;4626;2016;0.99726776;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;770.0;1;0.0;0;58194;1960.0;0
3083;6224;2015;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;900.0;2;0.0;0;13205;1960.0;1
3084;14651;2014;0.747945205;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1230.0;1;0.0;0;36044;1980.0;0
3085;17039;2012;1.0;0;V;N;1;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;1490.0;1;0.0;3;27299;1962.0;1
3086;14669;2013;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;855.0;1;0.0;0;22113;1980.0;0
3087;4110;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;608.0;1;0.0;0;71270;1960.0;0
3088;3584;2012;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1500.0;1;0.0;0;13047;1980.0;0
3089;3335;2012;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;2500.0;2;0.0;0;68224;1988.0;0
3090;3718;2015;1.0;0;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;700.0;2;0.0;0;13203;1960.0;1
3091;10788;2012;1.0;1;V;N;1;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;effpi;2;1285.0;3;0.0;7;92035;1955.0;0
3092;16648;2016;0.99726776;0;V;N;2;O;1;O;N;N;O;N;AUTRE;IDENTIQUE;V;base;2;14350.0;2;0.0;7;57368;1960.0;1
3093;8537;2014;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;3300.0;4;0.0;0;06004;1965.1201847262896;1
3094;5974;2012;0.527322404;1;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;340.0;2;0.0;0;69029;1980.0;0
3095;6961;2013;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;6500.0;2;0.0;0;34003;1988.0;0
3096;3123;2015;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1200.0;2;0.0;0;13205;1960.0;0
3097;11029;2013;1.0;0;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;688.0;2;0.0;0;13202;1960.0;0
3098;19805;2015;0.104109589;0;V;N;3;O;1;O;N;N;N;N;AUTRE;IDENTIQUE;V;base;2;1000.0;3;0.6;6;2A004;1980.0;0
3099;294;2012;0.0;1;V;V;V;V;V;V;V;V;V;V;V;V;N;base;2;1002.0;2;0.0;0;51108;1965.1201847262896;0
3100;9434;2012;1.0;1;N;V;V;V;V;V;V;V;V;V;V;V;N;base;2;336.0;4;0.0;0;75107;1965.1201847262896;0
